"age" "gender" "belgian" "degree" "startdate" "months" "phd" "years" "totdfte" "meandfte" "level" "class" "faculty"
23 "M" "B" 8 35309 NA "N" NA 8.33 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "TW"
21 "W" "B" 8 36039 61 "Y" 5 4 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "EB"
23 "M" "B" 5 34973 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "EB"
25 "M" "B" 9 36373 NA "N" NA 4.42 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
47 "M" "O" 5 36161 9 "Y" 1 0.5 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "WE"
25 "M" "B" 8 37165 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "WE"
23 "M" "B" 9 37500 NA "N" NA 1.08 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
23 "W" "B" 5 35704 NA "N" NA 5.66 1 "wetenschappelijk projectmedewerker MML" "6b) Andere projecten (WM)" "DI"
22 "M" "B" 7 36434 NA "N" NA 4.25 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
24 "W" "B" 7 36100 NA "N" NA 6.17 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
21 "W" "B" 8 34243 79 "Y" 7 5.63 1 "IWONL-bursaal" "3 ) IWT-bursalen" "WE"
25 "M" "B" 9 37165 NA "N" NA 2 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "LW"
27 "M" "O" 5 36342 NA "N" NA 0.42 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
24 "W" "B" 8 36039 NA "N" NA 6.01 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
23 "W" "B" 9 36434 NA "N" NA 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "LW"
31 "W" "B" 7 34669 NA "N" NA 1.25 0.21 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
25 "W" "B" 8 36373 NA "N" NA 2.46 0.95 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
22 "M" "B" 7 36831 NA "N" NA 1 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "WE"
25 "M" "B" 7 36008 NA "N" NA 0.83 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "DI"
24 "W" "B" 8 34547 NA "N" NA 1.75 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "FW"
24 "M" "B" 8 34243 48 "Y" 4 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "TW"
22 "W" "B" 8 34700 74 "Y" 6 6.22 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "GE"
35 "M" "O" 5 37469 NA "N" NA 0.42 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
24 "W" "B" 8 35704 60 "Y" 5 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "GE"
23 "M" "B" 9 33970 NA "N" NA 6.25 1 "IMEC predoctoraal onderzoeker" "6b) Andere projecten (WM)" "TW"
28 "M" "B" 5 36800 NA "N" NA 4.08 1 "IMEC predoctoraal onderzoeker" "6b) Andere projecten (WM)" "TW"
